n70,g58,g90
n65,g0,g2
n6,g88,g39
n35,g65,g1
n4,g53,g32
n32,g10,g75
n26,g55,g23
n21,g13,g25
n60,g99,g62
n20,g50,g17
n51,g15,g77
n69,g37,g10
n71,g86,g1
n28,g9,g99
n14,g29,g71
n45,g51,g0
n39,g12,g49
n5,g73,g50
n23,g84,g79
n24,g11,g27
n54,g70,g88
n16,g65,g61
n17,g0,g98
n18,g66,g22
n63,g21,g16
n9,g28,g33
n25,g72,g33
n30,g91,g16
n31,g43,g55
n10,g84,g69
n43,g11,g23
n68,g68,g17
n34,g4,g68
n8,g16,g65
n53,g28,g25
n55,g53,g3
n38,g44,g5
n33,g19,g79
n62,g96,g36
n11,g6,g31
n27,g14,g58
n50,g7,g52
n44,g79,g99
n12,g30,g55
n67,g70,g1
n0,g17,g36
n22,g81,g60
n58,g68,g37
n36,g32,g9
n42,g86,g3
n61,g39,g18
n3,g72,g80
n29,g97,g32
n47,g75,g59
n49,g61,g38
n52,g92,g56
n59,g51,g11
n57,g10,g98
n66,g19,g32
n37,g93,g88
n13,g36,g50
n40,g11,g40
n19,g65,g79
n46,g93,g42
n7,g72,g81
n15,g11,g33
n48,g94,g43
n41,g30,g73
n64,g81,g10
n56,g17,g47
n2,g15,g85
n1,g24,g57
