n70,g44,g60
n6,g68,g21
n4,g42,g4
n22,g4,g54
n21,g0,g2
n60,g97,g76
n79,g90,g0
n74,g47,g37
n69,g97,g14
n28,g81,g69
n14,g46,g87
n45,g0,g93
n89,g18,g64
n5,g87,g12
n23,g22,g8
n24,g92,g54
n17,g58,g17
n54,g86,g73
n77,g82,g19
n63,g84,g85
n9,g15,g13
n25,g83,g14
n87,g82,g23
n10,g28,g34
n68,g43,g11
n34,g20,g50
n72,g26,g81
n73,g49,g93
n55,g72,g55
n44,g4,g23
n16,g55,g12
n80,g64,g27
n81,g10,g11
n75,g99,g26
n66,g66,g64
n47,g14,g63
n52,g97,g80
n59,g61,g5
n57,g75,g92
n71,g91,g83
n37,g61,g2
n31,g29,g61
n19,g70,g73
n46,g29,g95
n65,g9,g11
n85,g79,g17
n1,g36,g1
n84,g24,g47
n32,g53,g90
n26,g17,g12
n20,g90,g42
n53,g4,g70
n56,g63,g92
n76,g46,g27
n38,g80,g0
n13,g37,g42
n67,g26,g77
n41,g14,g51
n18,g72,g83
n11,g18,g91
n30,g0,g45
n35,g97,g34
n8,g19,g97
n83,g68,g37
n39,g84,g15
n33,g16,g12
n27,g19,g66
n50,g69,g27
n12,g10,g15
n82,g12,g36
n0,g39,g26
n43,g18,g68
n58,g45,g20
n36,g56,g91
n42,g4,g75
n61,g52,g27
n78,g52,g67
n3,g37,g29
n29,g93,g78
n49,g61,g25
n88,g25,g63
n86,g18,g24
n62,g64,g65
n40,g10,g23
n51,g76,g54
n7,g56,g58
n15,g87,g52
n48,g8,g56
n64,g85,g35
n2,g7,g66
