n70,g11,g27
n65,g85,g18
n6,g98,g19
n35,g14,g28
n4,g18,g81
n32,g41,g14
n72,g53,g66
n74,g20,g7
n26,g98,g94
n21,g39,g12
n60,g92,g7
n20,g39,g13
n73,g54,g83
n51,g32,g3
n69,g92,g24
n71,g39,g79
n28,g59,g93
n77,g83,g18
n14,g42,g59
n45,g94,g59
n39,g69,g77
n5,g80,g20
n23,g5,g57
n24,g45,g24
n54,g44,g15
n16,g6,g81
n82,g88,g16
n17,g57,g0
n18,g62,g64
n63,g23,g81
n9,g88,g77
n25,g51,g68
n30,g9,g10
n31,g47,g65
n10,g0,g72
n43,g32,g68
n68,g21,g71
n34,g36,g19
n8,g13,g63
n79,g28,g4
n53,g27,g13
n55,g29,g71
n38,g53,g15
n33,g72,g79
n62,g62,g2
n11,g42,g31
n27,g54,g70
n50,g46,g35
n44,g58,g1
n12,g8,g73
n67,g76,g90
n75,g40,g87
n80,g42,g1
n0,g75,g45
n22,g72,g49
n81,g65,g37
n58,g62,g30
n36,g8,g34
n42,g5,g14
n61,g90,g0
n78,g51,g47
n3,g79,g7
n29,g36,g73
n47,g74,g34
n49,g97,g64
n52,g29,g38
n59,g81,g39
n57,g26,g53
n66,g15,g10
n37,g4,g67
n13,g41,g43
n40,g74,g31
n19,g12,g99
n46,g62,g79
n7,g86,g75
n15,g85,g98
n48,g31,g44
n41,g15,g98
n76,g33,g99
n64,g10,g93
n56,g22,g43
n2,g93,g4
n1,g27,g34
