n70,g96,g15
n65,g88,g4
n6,g98,g24
n35,g67,g82
n4,g29,g3
n32,g98,g73
n72,g62,g54
n83,g70,g63
n74,g44,g39
n26,g13,g40
n21,g27,g16
n60,g52,g58
n20,g85,g55
n73,g18,g21
n51,g45,g18
n69,g97,g26
n71,g57,g82
n28,g53,g13
n77,g77,g27
n14,g3,g2
n45,g71,g87
n39,g38,g23
n5,g14,g75
n23,g8,g7
n24,g43,g69
n54,g6,g78
n16,g61,g35
n82,g76,g26
n17,g57,g85
n18,g7,g75
n63,g44,g64
n9,g86,g50
n25,g97,g96
n30,g30,g79
n31,g48,g90
n10,g42,g10
n43,g29,g32
n68,g3,g41
n34,g88,g46
n8,g8,g67
n79,g70,g90
n53,g94,g65
n55,g17,g95
n38,g4,g36
n33,g71,g2
n62,g80,g45
n11,g20,g69
n27,g69,g48
n50,g73,g84
n44,g89,g45
n12,g74,g65
n67,g97,g49
n75,g90,g34
n80,g55,g35
n0,g58,g37
n22,g30,g80
n81,g84,g27
n58,g38,g52
n36,g86,g73
n42,g9,g37
n61,g74,g4
n78,g21,g37
n3,g83,g7
n29,g41,g77
n47,g21,g22
n49,g73,g36
n52,g45,g17
n59,g53,g16
n57,g52,g86
n66,g21,g74
n37,g22,g31
n13,g56,g81
n40,g66,g30
n19,g68,g31
n46,g45,g69
n7,g99,g93
n15,g65,g20
n48,g30,g48
n41,g92,g89
n76,g7,g74
n64,g2,g63
n56,g12,g0
n2,g39,g94
n1,g11,g82
