n70,g12,g50
n65,g84,g53
n6,g40,g62
n35,g73,g54
n4,g10,g65
n32,g79,g7
n72,g11,g8
n74,g57,g24
n26,g48,g18
n21,g74,g69
n60,g3,g42
n20,g30,g41
n73,g29,g39
n51,g56,g39
n69,g59,g29
n71,g57,g62
n28,g78,g25
n77,g31,g18
n14,g28,g7
n45,g7,g40
n39,g85,g88
n5,g72,g39
n23,g32,g67
n24,g60,g34
n54,g52,g9
n16,g3,g88
n17,g38,g13
n18,g47,g8
n63,g99,g13
n9,g49,g37
n25,g0,g18
n30,g21,g79
n31,g99,g90
n10,g34,g11
n43,g89,g82
n68,g44,g12
n34,g91,g95
n8,g93,g85
n53,g68,g79
n55,g78,g7
n38,g5,g85
n33,g0,g49
n62,g9,g65
n11,g80,g20
n27,g27,g46
n50,g45,g19
n44,g66,g20
n12,g6,g93
n67,g59,g76
n75,g88,g45
n0,g95,g65
n22,g66,g89
n58,g94,g79
n36,g37,g68
n42,g31,g3
n61,g90,g43
n78,g59,g19
n3,g10,g72
n29,g92,g81
n47,g62,g85
n49,g69,g78
n52,g17,g11
n59,g15,g38
n57,g17,g93
n66,g47,g11
n37,g92,g73
n13,g49,g47
n40,g63,g7
n19,g29,g42
n46,g57,g0
n7,g74,g40
n15,g19,g20
n48,g99,g87
n41,g56,g38
n76,g33,g47
n64,g84,g23
n56,g61,g82
n2,g45,g27
n1,g97,g16
