n70,g86,g89
n65,g63,g0
n6,g40,g19
n35,g96,g78
n4,g42,g59
n32,g14,g99
n72,g60,g40
n74,g35,g30
n26,g10,g21
n21,g85,g48
n60,g44,g29
n20,g96,g19
n73,g9,g74
n51,g81,g91
n69,g77,g87
n71,g18,g21
n28,g51,g79
n77,g99,g0
n14,g98,g12
n45,g92,g82
n39,g90,g20
n5,g39,g52
n23,g21,g93
n24,g45,g80
n54,g43,g13
n16,g54,g44
n17,g96,g31
n18,g88,g17
n63,g87,g68
n9,g79,g99
n25,g40,g6
n30,g27,g69
n31,g80,g33
n10,g81,g1
n43,g28,g30
n68,g2,g65
n34,g31,g72
n8,g77,g56
n53,g18,g43
n55,g58,g48
n38,g79,g56
n33,g19,g7
n62,g55,g47
n11,g90,g53
n27,g94,g35
n50,g97,g67
n44,g69,g11
n12,g23,g90
n67,g90,g6
n75,g51,g83
n0,g51,g77
n22,g77,g83
n58,g2,g46
n36,g64,g19
n42,g56,g63
n61,g25,g97
n78,g5,g17
n3,g91,g71
n29,g71,g50
n47,g72,g13
n49,g47,g98
n52,g72,g5
n59,g83,g95
n57,g90,g63
n66,g9,g10
n37,g62,g21
n13,g76,g31
n40,g65,g94
n19,g55,g23
n46,g37,g35
n7,g75,g23
n15,g7,g99
n48,g84,g72
n41,g93,g95
n76,g98,g57
n64,g30,g70
n56,g56,g16
n2,g98,g6
n1,g75,g76
